position_id,position_salary,position_name,position_url,position_city,position_area,position_publishtime,work_year,education,position_desc,position_tags,hr_id,company_name,company_id,company_url,company_desc
5728751,15k-25k,python开发工程师,https://www.lagou.com/jobs/5728751.html,北京,亮马桥,1天前发布,经验3-5年,本科,“六险一金，周末双休，弹性考勤，发展空间大”,/企业服务//系统架构//数据库/,6779573,北京超盟数据科技有限公司,100530,https://www.lagou.com/gongsi/100530.html,数据服务，企业服务 / A轮 / 50-150人
5725187,16k-25k,Python开发工程师,https://www.lagou.com/jobs/5725187.html,深圳,南山区,1天前发布,经验3-5年,本科,“公司福利待遇、网络安全、大数据”,/大数据//信息安全//后端//Hadoop//软件开发/,9828987,深信服科技集团,182070,https://www.lagou.com/gongsi/182070.html,信息安全，企业服务 / 不需要融资 / 2000人以上
5496332,20k-30k,python开发工程师,https://www.lagou.com/jobs/5496332.html,厦门,思明区,2019-03-18,经验3-5年,本科,“五险一金，弹性工作时，15薪，发展空间”,/大数据//新零售//后端//全栈//音频编解码//C++/,11558589,瑞幸咖啡,356010,https://www.lagou.com/gongsi/356010.html,移动互联网，O2O / B轮 / 2000人以上
5724591,15k-28k,软件工程师-Python,https://www.lagou.com/jobs/5724591.html,北京,望京,02:36发布,经验1-3年,本科,“大牛团队，股票期权，学术氛围浓厚”,/图像处理//云计算//后端//软件开发/,6317040,大地量子,152987,https://www.lagou.com/gongsi/152987.html,数据服务 / 天使轮 / 15-50人
5724367,20k-40k,Python高级开发工程师,https://www.lagou.com/jobs/5724367.html,上海,张江,09:59发布,经验5-10年,本科,“五险一金 行业前景好”,/后端/,12122601,中科政汇,481070,https://www.lagou.com/gongsi/481070.html,移动互联网 / A轮 / 50-150人
5730100,20k-40k,00101-Python开发工程师,https://www.lagou.com/jobs/5730100.html,上海,黄浦区,08:58发布,经验不限,本科,“团队氛围好 成长空间大”,/工具软件//云计算//后端//客户端/,11052707,谷露软件,5002,https://www.lagou.com/gongsi/5002.html,数据服务，招聘 / A轮 / 50-150人
5533597,15k-30k,112145-资深容器python开发,https://www.lagou.com/jobs/5533597.html,深圳,科技园,00:00发布,经验5-10年,本科,“五险一金，绩效奖金”,/云计算//云计算//docker/,811225,平安科技,24748,https://www.lagou.com/gongsi/24748.html,金融 / 不需要融资 / 2000人以上
5721335,10k-20k,python高级开发工程师,https://www.lagou.com/jobs/5721335.html,南京,上海路,2天前发布,经验3-5年,本科,“带薪假期、6险1金、年底双薪”,/后端//Golang//服务器端/,12421876,华扬联众全国数据技术中心（HDTC）,57628,https://www.lagou.com/gongsi/57628.html,数据服务，文化娱乐 / 不需要融资 / 2000人以上
5545508,30k-50k,Python 后台开发经理,https://www.lagou.com/jobs/5545508.html,深圳,南山区,12:30发布,经验5-10年,本科,“全球项目、高薪资、高福利、国际团队”,/电商//移动互联网//后端/,9641903,AfterShip,286431,https://www.lagou.com/gongsi/286431.html,电子商务，企业服务 / 不需要融资 / 50-150人
5715345,15k-25k,Python量化交易开发工程师,https://www.lagou.com/jobs/5715345.html,深圳,新安,10:40发布,经验3-5年,本科,“结构扁平 福利好 氛围自由”,/金融//服务器端/,5260097,微诺,513919,https://www.lagou.com/gongsi/513919.html,移动互联网 / 不需要融资 / 50-150人
5731261,9k-15k,python开发工程师(J10126),https://www.lagou.com/jobs/5731261.html,北京,西二旗,10:10发布,经验1-3年,本科,“网络安全；python；TCP/IP”,/后端//Linux/Unix/,8776806,北京天融信公司,9995,https://www.lagou.com/gongsi/9995.html,信息安全 / 上市公司 / 2000人以上
5499846,6k-10k,python技术辅导老师（西安）,https://www.lagou.com/jobs/5499846.html,西安,曲江新区,2天前发布,经验不限,本科,“六险一金，年底双薪，健身俱乐部，出国游，”,/教育//直播/,195829,猿辅导,16799,https://www.lagou.com/gongsi/16799.html,移动互联网，教育 / D轮及以上 / 500-2000人
5729762,12k-24k,python开发工程师,https://www.lagou.com/jobs/5729762.html,深圳,深圳湾,1天前发布,经验3-5年,本科,“五险一金、年终奖、中外合资企业、医疗行业”,/医疗健康//后端//docker//Ruby/,8848705,Metanotitia Lnc.,492782,https://www.lagou.com/gongsi/492782.html,医疗健康 / 未融资 / 15-50人
5715747,4k-5k,python开发,https://www.lagou.com/jobs/5715747.html,昆明,盘龙区,3天前发布,经验1年以下,不限,“自由！”,/企业服务//Javascript/,12555044,云迩玉文化,265807,https://www.lagou.com/gongsi/265807.html,文化娱乐 / 未融资 / 少于15人
5722500,7k-10k,python开发,https://www.lagou.com/jobs/5722500.html,西安,高新路,2天前发布,经验1-3年,大专,“周末双休”,/算法//机器学习/,9237438,西安学学信息技术有限公司,467840,https://www.lagou.com/gongsi/467840.html,移动互联网 / 未融资 / 50-150人
5720877,8k-15k,服务端高级研发工程师语言Python（厦门）,https://www.lagou.com/jobs/5720877.html,厦门,嘉禾路,1天前发布,经验3-5年,本科,“五险一金 定期体检”,/节日礼物//年底双薪//带薪年假//岗位晋升/,12220222,岱嘉医学,48223,https://www.lagou.com/gongsi/48223.html,医疗健康 / 未融资 / 150-500人
5722115,4k-8k,python开发工程师,https://www.lagou.com/jobs/5722115.html,南京,兴隆,2天前发布,经验不限,不限,“学习机会，发展空间、五险一金、春节长假”,/后端//服务器端/,1477823,糯米游戏,58561,https://www.lagou.com/gongsi/58561.html,移动互联网，游戏 / 天使轮 / 15-50人
5726334,10k-15k,python开发工程师,https://www.lagou.com/jobs/5726334.html,上海,五里桥,1天前发布,经验1-3年,本科,“有一定的学习空间和晋升空间”,/软件开发//图像处理//Linux/Unix/,12847429,兑观信息,491477,https://www.lagou.com/gongsi/491477.html,人工智能 / 未融资 / 15-50人
5729601,20k-30k,Python高级工程师,https://www.lagou.com/jobs/5729601.html,成都,高新区,1天前发布,经验5-10年,本科,“组建和领导Carloha成都技术团队”,/电商//汽车/,13101043,Carloha懒人汽车,532857,https://www.lagou.com/gongsi/532857.html,电子商务、汽车 / 不需要融资 / 50-150人
5727968,15k-25k,高级Python开发工程师,https://www.lagou.com/jobs/5727968.html,深圳,深圳湾,1天前发布,经验3-5年,本科,“年轻有活力的团队，丰厚的年终奖”,/Linux/Unix//C++//分布式/,8783221,趣凡网络,9087,https://www.lagou.com/gongsi/9087.html,移动互联网，游戏 / 不需要融资 / 50-150人
5627600,18k-30k,11217M-资深python开发（平安云）,https://www.lagou.com/jobs/5627600.html,深圳,科技园,2天前发布,经验5-10年,本科,“五险一金，绩效奖金”,/云计算//运维//系统运维/,811225,平安科技,24748,https://www.lagou.com/gongsi/24748.html,金融 / 不需要融资 / 2000人以上
5727832,14k-24k,python开发工程师,https://www.lagou.com/jobs/5727832.html,上海,十六铺,1天前发布,经验3-5年,本科,“领导nice”,/MySQL//Shell//Linux/Unix//后端/,7195026,钱咖,84515,https://www.lagou.com/gongsi/84515.html,移动互联网，电子商务 / 不需要融资 / 50-150人
